"rooms";"separate_rooms";"area";"sity";"street";"house";"floor";"max_floor";"house_type";"total_square";"live_square";"kitchen_square";"year";"repare_year";"balcony";"total_price";"price"
"к";"2";"Фр";"Минск";"Берута ул.";"9-4";"5";"5";"п";"44,3";"14";"6,2";"1967";"2015";"бз";"44898";"3207"
"к";"3";"Фр";"Минск";"Лынькова ул.";"47";"1";"2";"к";"83,9";"21,6";"10";"1953";"2015";"-";"44898";"2078"
"к";"2";"Пер";"Минск";"Калиновского ул.";"24";"1";"5";"п";"38,2";"14,7";"6,2";"1968";"";"-";"45967";"3128"
"к";"2";"Лен";"Минск";"Прушинских ул.";"32";"1";"9";"п";"51,1";"11,3";"9";"2003";"";"";"46822";"4143"
"к";"2";"Зав";"Минск";"Народная ул.";"40";"1";"3";"к";"42";"16";"6,2";"1950";"";"-";"47036";"2940"
"к";"3";"Лен";"Минск";"Малинина ул.";"34";"5";"9";"п";"60,5";"38,7";"7,1";"1976";"2019";"л";"47036";"1214"
"к";"3";"Лен";"Минск";"Рокоссовского просп.";"12-1";"5";"9";"п";"64";"13";"7,2";"";"";"лз";"47036";"3617"
"к";"3";"Окт";"Минск";"Кижеватова ул.";"64";"3";"9";"п";"66,8";"17";"7";"1977";"";"лз";"47036";"2767"
"к";"3";"Пер";"Минск";"Калиновского ул.";"57-1";"5";"5";"п";"48,7";"33,7";"6";"1966";"";"б";"47036";"1396"
"к";"3";"Пер";"Минск";"Почтовая ул.";"8";"4";"5";"п";"63,9";"16,3";"8,7";"1973";"";"б";"47036";"2886"
"к";"3";"Фр";"Минск";"Лынькова ул.";"23-а";"8";"9";"п";"71,7";"14";"9,3";"1978";"";"лз";"47677";"3406"
"к";"4";"";"Гатово";"Металлургическая ул.";"18-2";"5";"5";"б";"92,5";"30,1";"9,2";"1990";"";"б";"48105";"1599"
"к";"5";"Мос";"Минск";"Хмелевского ул.";"33";"1";"4";"б";"93,8";"16,5";"10,3";"1965";"";"-";"48105";"2916"
"к";"6";"Мос";"Минск";"Хмелевского ул.";"33";"1";"4";"б";"104";"16,8";"10,9";"1965";"2005";"-";"48746";"2901"
"к";"5";"Окт";"Минск";"Пуховичская ул.";"13";"3";"4";"к";"92";"29";"13";"1963";"";"-";"49174";"1695"
"к";"3";"Пер";"Минск";"Калиновского ул.";"52";"1";"5";"п";"61,7";"17,3";"6,2";"1970";"2014";"";"49174";"2841"
"к";"3";"Пер";"Минск";"Независимости просп.";"133";"3";"9";"п";"68";"14";"7";"";"";"-";"49174";"3513"
"к";"2";"Сов";"Минск";"Кульман ул.";"24";"4";"9";"п";"48";"13,4";"7,2";"1973";"";"л";"49174";"3669"
"к";"2";"Пер";"Минск";"Калиновского ул.";"79";"1в";"5";"п";"49,7";"17,2";"6,2";"1966";"";"-";"50243";"2921"
"к";"2";"Сов";"Минск";"Богдановича ул.";"60";"4";"5";"к";"40,3";"14,7";"5,2";"1966";"";"-";"50243";"3419"
