"rooms";"separate_rooms";"area";"sity";"street";"house";"floor";"max_floor";"house_type";"total_square";"live_square";"kitchen_square";"year";"repare_year";"balcony";"total_price";"price"
"к";"1";"Жел";"Гомель";"Народного Ополчения ул.";"6";"4";"9";"к";"35,4";"33,4";"8";"1998";"";"б";"";""
"к";"4";"Жел";"Витебск";"Кирова ул.";"";"5";"5";"к";"73,3";"24,3";"—";"";"";"-";"";""
"к";"4";"";"Мичуринская";"Мира ул.";"39";"1";"5";"к";"77,4";"23,1";"7,6";"1991";"";"л";"";""
"к";"3";"Фр";"Минск";"Глебки ул.";"126";"1в";"9";"п";"72";"17,9";"9,5";"1979";"";"2л";"";""
"к";"2";"Фр";"Минск";"Мавра ул.";"17";"1";"5";"п";"47";"17,3";"6,2";"1971";"";"-";"";""
"1";"1";"";"Корени";"Солнечный пер.";"3-2";"1";"1";"к";"52,7";"17,6";"10";"1999";"";"в";"5345";"100"
"1";"1";"";"Домачево";"";"";"1";"1";"бр";"16,4";"—";"7,8";"1946";"";"-";"7483";"455"
"1";"1";"";"Осинторф";"Советская ул.";"6-а";"2";"3";"к";"32,3";"17,9";"6,6";"1984";"";"лз";"7483";"231"
"1";"1";"";"Ореховск";"Бел ГРЭС ул.";"5";"1в";"3";"к";"27,7";"16,3";"5,9";"1931";"2008";"-";"8552";"308"
"1";"1";"";"Крапивно";"Центральная ул.";"49";"1";"3";"б";"36,3";"18,6";"9,1";"";"";"-";"8552";"235"
"1";"1";"";"Седча";"Железнодорожная ул.";"";"1";"1";"бр";"17,8";"11,5";"5,8";"";"";"-";"9621";"541"
"1";"1";"";"Крайск";"Буденного ул.";"";"1";"2";"к";"42,1";"21,1";"8,9";"1970";"";"л";"10690";"254"
"1";"1";"";"Негорелое";"Ленинская ул.";"";"1";"1";"бр";"28,3";"14,3";"—";"1926";"";"-";"10690";"378"
"1";"1";"";"Пиревичи";"Суворова ул.";"";"3";"4";"п";"38,7";"19,1";"8,4";"1992";"";"бз";"10690";"276"
"1";"1";"";"Озаричи";"Гагарина ул.";"5";"2";"2";"п";"38";"18,5";"7,8";"1990";"";"бзв";"11438";"301"
"1";"1";"";"Бобруйск";"Бахарова ул.";"169";"1";"1";"бр";"19";"13";"6";"";"";"-";"11759";"618"
"1";"1";"";"Крулевщина";"Полевого ул.";"8-5";"2";"4";"к";"30,8";"20,1";"5,7";"1972";"2015";"-";"11759";"383"
"1";"1";"";"Дивин";"Ленина ул.";"";"1";"3";"п";"32,3";"15,8";"8,8";"";"";"б";"12828";"398"
"1";"1";"";"Узда";"Ленинская ул.";"";"1";"1";"бр";"20,5";"10,9";"9,6";"1955";"";"-";"12828";"626"
"1";"1";"";"Высокое";"";"";"1";"1";"бр";"32";"14,5";"10,1";"1953";"";"-";"13897";"434"
"1";"1";"";"Дивин";"Ленина ул.";"";"1";"3";"п";"33";"16";"10";"1985";"";"б";"13897";"421"
"1";"1";"";"Кобрин";"Парковая ул.";"";"2";"5";"п";"49,1";"29,1";"7,3";"1989";"";"л";"13897";"282"
"1";"1";"";"Славгород";"Калинина";"62";"2";"2";"к";"37,9";"18,9";"7,2";"";"";"б";"14859";"391"
"1";"1";"";"Ореховск";"Бел ГРЭС ул.";"34";"5";"5";"к";"32,3";"15,3";"7,9";"";"";"б";"14966";"464"
"1";"1";"";"Лунинец";"Гомельская ул.";"1";"2";"2";"к";"30,1";"16,1";"8,7";"";"";"-";"14966";"498"
"1";"1";"";"Хойники";"Колесника ул.";"";"5";"5";"п";"36,8";"19,9";"7";"1992";"";"л";"14966";"406"
"1";"1";"";"Светлогорск";"Октябрьский м-н";"47";"4";"5";"п";"30,7";"19";"5,8";"1966";"";"б";"14966";"487"
"1";"1";"Жел";"Витебск";"Задорожный пер.";"";"1";"1";"к";"29,3";"16,8";"7";"";"";"-";"14966";"511"
"1";"1";"";"Маревиль";"Советская ул.";"5";"2";"2";"к";"35,5";"19,9";"6,3";"1974";"";"л";"16035";"451"
"1";"1";"";"Дивин";"";"";"3";"3";"п";"32,3";"15,6";"8,3";"";"";"-";"17104";"530"
"1";"1";"";"Пинск";"Брестская ул.";"42";"1";"1";"к";"29";"17";"11";"";"";"-";"17104";"590"
"1";"1";"";"Речица";"Гастелло ул.";"130";"1";"1";"бр";"24,7";"14,4";"—";"";"";"-";"17104";"693"
"1";"1";"";"Речица";"Гастелло ул.";"130";"1";"1";"бр";"24,7";"14,4";"—";"";"";"-";"17104";"693"
"1";"1";"";"Несвиж";"Сырокомли ул.";"27";"1";"1";"п";"37,1";"16,2";"7,7";"1933";"";"-";"17104";"462"
"1";"1";"";"Светлогорск";"Октябрьский м-н";"51";"1";"5";"п";"—";"—";"—";"1969";"2015";"";"";""
"1";"1";"Моск";"Брест";"Московская ул.";"1";"5";"5";"п";"61,8";"45,8";"5,4";"1980";"";"б";"18173";"295"
"1";"1";"";"Пинск";"60 Лет Октября ул.";"";"5";"5";"к";"20,6";"11,1";"4,7";"1972";"";"-";"18387";"892"
"1";"1";"";"Ганцевичи";"Строителей ул.";"31";"5";"5";"п";"37,4";"19,4";"9,3";"1992";"";"бз";"18601";"498"
"1";"1";"";"Бобруйск";"Орловского ул.";"27";"3";"5";"к";"20,5";"11,3";"5,2";"1971";"2016";"-";"18814";"917"
"1";"1";"";"Новый Путь";"";"";"2";"2";"к";"46,8";"26";"9";"1980";"";"2б";"19242";"410"
"1";"1";"";"Березино";"Минская";"3";"1";"2";"к";"30,2";"18,8";"6,3";"1959";"";"-";"19242";"637"
"1";"1";"";"Березино";"Минская";"3";"2";"2";"к";"29,7";"19,3";"6,2";"1959";"";"-";"19242";"648"
"1";"1";"";"Копти";"Центральная ул.";"";"1";"4";"к";"39,9";"16,4";"9";"1974";"";"бз";"19242";"483"
"1";"1";"";"Светлогорск";"Зеленая ул.";"12";"1в";"2";"п";"38";"19";"8,1";"1991";"";"бз";"20311";"535"
"1";"1";"Лен";"Брест";"Писателя Смирнова ул.";"";"1";"1";"к";"24,3";"16,5";"7,8";"1957";"";"-";"20311";"836"
"1";"1";"";"Светлогорск";"Юбилейный м-н";"1-б";"4";"10";"к";"36,2";"20,4";"8,1";"1991";"";"л";"21166";"584"
"1";"1";"";"Хотислав";"";"";"3";"3";"п";"36,8";"17,2";"9";"1993";"";"л";"21380";"582"
"1";"1";"";"Малорита";"";"";"1";"2";"к";"31,7";"17,8";"5,4";"1968";"";"-";"21380";"673"
"1";"1";"";"Хотислав";"";"";"3";"3";"п";"36,8";"17";"9";"1993";"";"л";"21380";"582"
"1";"1";"";"Борисов";"30 Лет ВЛКСМ ул.";"";"1";"1";"бр";"18";"17";"—";"";"";"-";"21380";"1189"
